country,power_index,strength_score,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,combat_aircraft_ratio,weaponry_index,active_personnel,reserve_personnel,total_military_personnel,labor_force,total_population,reserve_ratio,mil_participation_rate,manpower_index,arms_imports_tiv,arms_exports_tiv,net_arms_trade_tiv,import_dependency_index,defense_industry_index,border_km,coastline_km,coastline_ratio,defense_budget_usd,oil_production_bpd,gdp_current_usd,gdp_per_capita,military_spend_pct_gdp,defense_burden,spend_per_soldier_usd,economic_resilience_index,total_conflict_episodes,interstate_conflict_years,high_intensity_years,years_since_last_interstate,conflict_experience_index
Indonesia,0.2582,0.7723,460.0,41.0,34.0,15.0,212.0,338.0,4.0,0.0,0.0,10.0,331.0,153.0,396.0,0.0891,0.0637,404500.0,401000.0,805500.0,143144000.0,281562465.0,0.9913,0.005627,0.1176,186000000.0,17000000.0,-169000000.0,0.0348,0.0013,2958.0,54716.0,0.9487,11155297716.0,865000.0,1396300098190.97,4925.4,0.779,0.008,13849.0,0.1819,54.0,5.0,10.0,60.0,0.2039
Pakistan,0.2626,0.7669,1397.0,331.0,90.0,55.0,379.0,120.0,8.0,0.0,0.0,9.0,2677.0,662.0,2629.0,0.2369,0.1434,660000.0,550000.0,1210000.0,83644000.0,252363571.0,0.8333,0.014466,0.1744,982000000.0,6000000.0,-976000000.0,0.1871,0.0004,7257.0,1046.0,0.126,9102115350.0,91000.0,371570000121.266,1478.8,2.668,0.0245,7522.0,0.1413,79.0,28.0,13.0,2.0,0.7882
Israel,0.2707,0.7569,597.0,239.0,45.0,48.0,127.0,82.0,6.0,0.0,0.0,0.0,1300.0,323.0,171.0,0.4003,0.0705,169500.0,465000.0,634500.0,4710000.0,9402617.0,2.7434,0.134713,0.1038,211000000.0,1026000000.0,815000000.0,0.0396,0.0759,1068.0,273.0,0.2036,34600000000.0,15000.0,540379921261.681,54176.7,8.777,0.064,54531.0,0.2457,99.0,14.0,9.0,2.0,0.5144
Iran,0.3199,0.696,551.0,188.0,21.0,13.0,129.0,109.0,25.0,0.0,0.0,7.0,2675.0,424.0,1803.0,0.3412,0.1388,610000.0,350000.0,960000.0,28575000.0,88386937.0,0.5738,0.033596,0.1307,42000000.0,226000000.0,184000000.0,0.0073,0.0167,5894.0,2440.0,0.2928,9230000000.0,4112000.0,475252089215.416,5190.2,2.01,0.0194,9615.0,0.1934,66.0,17.0,10.0,2.0,0.5742
Australia,0.3208,0.6949,348.0,24.0,71.0,22.0,72.0,45.0,6.0,0.0,3.0,7.0,46.0,0.0,48.0,0.069,0.0394,58910.0,33270.0,92180.0,14912000.0,26768598.0,0.5648,0.006182,0.0092,983000000.0,75000000.0,-908000000.0,0.1873,0.0056,0.0,25760.0,1.0,57350000000.0,386000.0,1757022451652.83,64604.0,1.884,0.0326,622152.0,0.3116,1.0,1.0,1.0,23.0,0.1662
Spain,0.3247,0.6901,440.0,136.0,12.0,17.0,169.0,175.0,2.0,1.0,0.0,11.0,298.0,96.0,188.0,0.3091,0.0625,121802.0,24033.0,145835.0,24386000.0,47280433.0,0.1973,0.00598,0.0144,148000000.0,639000000.0,491000000.0,0.0276,0.0473,1953.0,4964.0,0.7177,39000676350.0,47000.0,1725671652742.19,35326.8,1.432,0.0226,267430.0,0.2432,11.0,0.0,0.0,,0.0
Egypt,0.3651,0.6401,1088.0,242.0,90.0,100.0,348.0,149.0,8.0,0.0,0.0,13.0,3620.0,1056.0,962.0,0.2224,0.16,438500.0,479000.0,917500.0,33749000.0,111247248.0,1.0924,0.027186,0.1363,72000000.0,2000000.0,-70000000.0,0.013,0.0001,2612.0,2450.0,0.484,5193500000.0,667000.0,389059911003.566,3338.5,0.665,0.0133,5660.0,0.1587,27.0,9.0,4.0,53.0,0.2439
Ukraine,0.3691,0.6352,347.0,88.0,30.0,39.0,140.0,169.0,0.0,0.0,0.0,0.0,1121.0,682.0,625.0,0.2536,0.0577,900000.0,4000000.0,4900000.0,20539000.0,35661826.0,4.4444,0.238571,0.8591,5230000000.0,23000000.0,-5207000000.0,1.0,0.0017,5581.0,2782.0,0.3327,45000000000.0,3000.0,190741262414.705,5389.5,34.482,0.2359,9184.0,0.0121,15.0,3.0,5.0,2.0,0.2923
Poland,0.3891,0.6104,457.0,58.0,12.0,29.0,224.0,63.0,1.0,0.0,0.0,2.0,798.0,593.0,0.0,0.1269,0.0407,250000.0,350000.0,600000.0,18245000.0,38746310.0,1.4,0.032886,0.0908,1448000000.0,116000000.0,-1332000000.0,0.2763,0.0086,2845.0,440.0,0.1339,55865141600.0,24000.0,917767106146.761,25103.6,4.154,0.0609,93109.0,0.1824,0.0,0.0,0.0,,0.0
Taiwan,0.3927,0.606,720.0,258.0,0.0,91.0,239.0,91.0,4.0,0.0,4.0,21.0,1090.0,488.0,1360.0,0.3583,0.1064,230000.0,1657000.0,1887000.0,11842940.0,23595274.0,7.2043,0.159335,0.3379,,0.0,,,0.0,0.0,1566.0,1.0,31180000000.0,800.0,,,,,16524.0,,4.0,4.0,3.0,68.0,0.1074
