Country,Notes,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
India,59,...,...,...,...,...,...,...,0.020200490998363338,0.02475,0.019224897240164417,0.021360716700473292,0.020040123456790123,0.02074359720605355,0.027454004329004328,0.04025306026365348,0.038192369802180055,0.03871414913957935,0.03572370645924924,0.03223923721467784,0.0324556858467412,0.031408145580589256,0.03185183039851715,0.03652453523562473,0.03717947461282101,0.03158643767134333,0.03202826324412889,0.03534598781107161,0.034778831428907996,0.03162771937129177,0.031263317016988194,0.032613286578754064,0.03133781329725835,0.03186248122183275,0.033451176655513885,0.03323068659707403,0.03416875594363275,0.035690302776082976,0.04106468680662229,0.04231317527010804,0.037286717827626915,0.03534179727672879,0.03146214610299615,0.029099743276426747,0.02704839705614089,0.02823542245687227,0.026646737270860428,0.025784835724606908,0.02472768225467398,0.026477324260171624,0.02727311416793762,0.02957195647434119,0.02948929906225716,0.029244355462895968,0.028268668304583758,0.0267777693222748,0.02828752247981048,0.029105875016448218,0.02680381560227632,0.024782465280355694,0.026314607812411225,0.03129384727374723,0.028894632716464076,0.02704482222769659,0.026181663475856203,0.025488248901417033,0.02543981764622566,0.02457450060601625,0.025431515211454148,0.025315113605679052,0.024242845260441674,0.02545998231435898,0.02803615811126794,0.024687415303418524,0.023830980983588244,0.02356794266782624,0.022233765418523323,0.022951791793515173
Pakistan,60,...,...,...,...,0.06316769950195796,0.05353674932775619,0.0557374764857521,0.050250786628866936,0.04172737921773663,0.04253032646747537,0.043356167711217995,0.04312662619254119,0.040978906409993854,0.03655872772561793,0.03648412975235438,0.03865890130646939,0.0590466788887322,0.06730521985086141,0.054046037019458947,0.05103905994995104,0.05512041884816754,0.061583876221498364,0.06735533237685316,0.06865955511452906,0.0621064272703617,0.06090996313689845,0.0632152024509398,0.0588947199314555,0.05547411678115799,0.055032996632996635,0.05453274295036122,0.05523244466997151,0.057108705757354404,0.06375717086631327,0.0664379805914383,0.06659491457016009,0.06922133598191935,0.06991656010524282,0.06971880083662561,0.0678581073127497,0.06532725255762356,0.06522320235231222,0.06570952788154283,0.06698187549251379,0.06427312623103772,0.0592354829296761,0.05820225282857931,0.060371663050655604,0.05621216488901701,0.05415095044254398,0.05189899264906071,0.04168722713814964,0.038789339447945485,0.04073770167876571,0.04091427187356125,0.0395603411669147,0.038970193925629094,0.03645255204377714,0.03511986100110977,0.03459371003627451,0.03265223993229547,0.03041893264806072,0.029192431843814412,0.030957735367377875,0.030880200354032872,0.030965796970477865,0.031629866450829616,0.032037767155062166,0.03364449103178007,0.035869617637850244,0.035058403159512606,0.03486679090203031,0.03389238796139961,0.03176832023525217,0.028910603378362557,0.02729955734811344,0.029136125148539926
China,55,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.024471013153258277,0.02454016115527347,0.023112434115531464,0.02473736316475916,0.019882669871606966,0.017404449319823254,0.01677768445434992,0.016436425726093083,0.016222696934733924,0.016421968604039713,0.018547847220009458,0.01817122778735756,0.019602031124079867,0.020327374282708588,0.019682847762508397,0.01910324373006541,0.018463439990556607,0.018432182484891747,0.017240735848177542,0.01689197989115741,0.018614565608681282,0.01704021933195119,0.016330858192468937,0.016731971884429406,0.016839621267270302,0.01706015659415741,0.01742239551069861,0.01734498714491647,0.016802504327741805,0.01643666897734351,0.016505247515538855,0.01720541627513925,0.015716370376944837,0.015918125379902066,0.016215129762345834,0.016640184492643748,0.01724723316575711
