Country,Notes,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
India,59,...,...,...,...,...,...,...,3046.0474766981533,3642.8512906582987,3649.0357429136698,3368.9947292010706,3401.3804337264223,3669.4741520237935,5043.648466428934,8256.596089961564,8059.602871082507,7878.065385824977,7418.314767108146,6931.07092767919,7177.804984291333,7607.05350783033,7843.963472432319,9352.547724652068,9860.642175381246,8709.467064210821,8110.801119025269,9103.171255891204,10452.214963367798,9930.656697401175,10384.510709428207,11190.166133104423,11483.715030587999,12124.377546485723,13155.132980028191,13613.711859414709,14401.152860516975,16154.22287622909,19096.168247902508,20570.32609946865,21062.559102660252,22194.55684103433,21862.095134613683,20412.972390643852,19508.86627111349,22034.448531057653,22132.780580889626,22796.18325808706,23209.49303261198,25692.156813513702,26805.375147072296,31151.77157061564,32144.854470973834,33264.41886009477,33161.45733354912,33901.86853899471,39380.11882102672,41909.241914334,42248.80883726924,42759.178346977875,48499.60168253916,57100.74570791593,57330.363148568584,57857.23593028125,57563.620669072945,57601.722640725086,60408.33013370461,60982.254061262756,67201.65953841172,71935.62090975382,74468.86351227999,79726.14769133553,80209.72591691159,79701.31730437509,83218.2300147544,85232.52938852833,85597.0831191097,93254.677691646
Pakistan,60,...,...,...,...,...,...,...,629.6776042412409,522.5993570201032,542.530097748198,639.5373907556002,666.4093577959856,659.6096941569168,632.2181523239981,683.2356798121311,769.9356710329857,1243.3522477647045,1449.7769310726812,1181.0152088877767,1214.2049815647742,1320.4371332982746,1440.5335817618777,1600.9948194437648,1794.6681124251563,1676.7231939386788,1672.4917688097537,1751.109643557307,1765.554025723186,1757.8199141288237,1870.5738456055012,1978.8150450447627,2137.9518947194797,2322.8290093922315,2799.0607226692214,3123.196218577172,3356.492069990666,3654.2146702916393,3928.442409817703,4295.931531681224,4446.144888414434,4459.295284772573,4706.372269721986,5038.1541804069275,5356.949047512367,5329.573543854445,5176.4509320049265,5265.941415717429,5264.558730257925,5040.748362083341,5040.705753500112,5090.548940064858,5101.450263285062,5457.374092892594,5868.918679874994,6271.548183755253,6529.30101283077,6795.7205838519785,6908.175991867117,6956.235976491151,6558.309430021487,6758.657757790851,7067.365095278192,7450.067665840831,7900.758351615461,8171.988488458449,8595.502017809467,9336.983878710922,9656.453407419216,10584.574450878763,11837.861864175857,11693.744417985563,11503.054392699123,11993.816793923786,11195.93515875268,9777.778887589551,10303.47699398378,11479.35437960776
China,55,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19905.957179233752,21639.621941251564,23000.93151539146,27972.069658336968,25722.77626231373,24750.39309897849,25707.125679044744,27234.48395272314,29054.19242213676,31723.585544991474,38673.67531103788,41859.94884116564,49634.62903269097,57007.59002936875,61696.002549766774,67956.44918310986,74624.9774233132,85898.20874181419,94424.53546866345,103310.80220400917,125361.39516664106,131535.81978251814,141205.81551114112,155714.05907459068,168374.62501672705,181814.42033438323,196087.55556286048,207375.40998832564,220129.31992222846,233023.66426689958,244375.95619855542,255894.61892362384,262558.6666931823,274158.19588427496,292220.7630572531,311900.3506008155,335017.61733764654
